WB_CODE,WB_NAME
217,Columbia River - Mainstem (above John Day Dam to McNary Dam)
218,Columbia River - Mainstem (above McNary Dam to Stateline)
219,North Umpqua River (from Rock Creek to Soda Springs - Fly Area)
220,LONG TOM
221,Row River
222,Wiley Creek (Santiam River)
223,Blue River (McKenzie River)
224,Neskowin Creek
225,Rogue River (Bay up to Elephant Rock)
226,Rogue R (Elephant Rock to Grave Creek)
227,Rogue River (Grave Creek to Fishers Ferry Boat Ramp)
228,Rogue River (above Fishers Ferry Boat Ramp)
229,Hood River (mouth to Powerdale Dam)
230,Hood River (above Powerdale Dam)
231,Grande Ronde River (from Stateline to Wildcat Bridge)
232,Grande Ronde River (from Wildcat Bridge to Island City Bridge)
233,Grande Ronde River (above Island City Bridge)
234,Wallowa River (mouth to Minam State Park)
235,Wallowa River (above Minam State Park)
236,Umatilla River (below Three-Mile Dam)
237,Umatilla River (above Nolin)
238,John Day River (below Cottonwood Bridge)
239,John Day River (above Cottonwood Bridge)
240,Isthmus Slough (Coos Bay)
241,Lookingglass Creek
242,Powder River
243,Umatilla River (above Three-Mile Dam to Nolin)
244,Sandy River (above Salmon River)
245,Clackamas River (above Carver Bridge to Bakers Ferry Road)
246,Clackamas River (above Bakers Ferry Road to River Mill Dam)
247,Clackamas River (above River Mill Dam to Cazadero Dam)
248,Chetco River & Bay (up to Nook Creek)
249,Chetco River & Bay (above Nook Creek)
250,John Day River (Clatsop County)
